id,titulo,organizacion,tipo_org,sector,subsector,pais_contexto,año,idioma,tipo_documento,nivel_toc,url,url_pdf,descripcion,palabras_clave,estado_descarga
1,UNICEF Methodological Brief: Theory of Change,UNICEF / UNICEF Office of Research,ONU,Metodologia,Guía metodológica,Global,2014,EN,Guía metodológica,Marco general,https://www.entwicklung.at/fileadmin/user_upload/Dokumente/Evaluierung/Theory_of_Change/UNICEF_Theory_of_change.pdf,https://www.entwicklung.at/fileadmin/user_upload/Dokumente/Evaluierung/Theory_of_Change/UNICEF_Theory_of_change.pdf,"Methodological Brief No. 2 por Patricia Rogers. Define ToC, componentes, cómo usarla en evaluación de impacto. Incluye ejemplo de South Africa Child Support Grant.","theory of change, impact evaluation, methodology, Rogers, UNICEF",pendiente
2,UNDAF Companion Guidance: Theory of Change,UNDG (UN Development Group),ONU,Metodologia,Planificación conjunta ONU,Global,2012,EN,Guía metodológica,Marco general,https://unsdg.un.org/sites/default/files/UNDG-UNDAF-Companion-Pieces-7-Theory-of-Change.pdf,https://unsdg.un.org/sites/default/files/UNDG-UNDAF-Companion-Pieces-7-Theory-of-Change.pdf,Guía de ToC para marcos de cooperación de las Naciones Unidas. Define ToC como método que explica cómo una intervención produce cambio basado en análisis causal.,"UNDAF, theory of change, UN system, development planning",pendiente
3,Understanding Theory of Change in International Development,ODI / IDRC — Stein & Valters,Think tank,Metodologia,Desarrollo internacional,Global,2012,EN,Paper académico,Marco general,https://www.theoryofchange.org/wp-content/uploads/toco_library/pdf/UNDERSTANDINGTHEORYOFChangeSteinValtersPN.pdf,https://www.theoryofchange.org/wp-content/uploads/toco_library/pdf/UNDERSTANDINGTHEORYOFChangeSteinValtersPN.pdf,Revisión crítica de cómo se usa la ToC en desarrollo internacional. Identifica tensiones entre uso técnico-racional y enfoque reflexivo-político.,"theory of change, development, critique, Stein, Valters, ODI",pendiente
4,The Community Builder's Approach to Theory of Change,AECF (Annie E. Casey Foundation),Fundación,Metodologia,Desarrollo comunitario,USA,2004,EN,Manual práctico,Programa específico,https://www.theoryofchange.org/pdf/TOC_fac_guide.pdf,https://www.theoryofchange.org/pdf/TOC_fac_guide.pdf,Guía práctica con ejemplo detallado de 'Project Superwoman' (empleo para mujeres en situación de violencia doméstica). Muy operacional.,"theory of change, community development, employment, women, domestic violence",pendiente
5,Theory of Change: A Practical Tool for Action Results and Learning,AECF (Annie E. Casey Foundation),Fundación,Metodologia,Desarrollo comunitario,USA,2004,EN,Manual práctico,Marco general,https://www.focusintl.com/RBM020-aecf_theory_of_change_manual.pdf,https://www.focusintl.com/RBM020-aecf_theory_of_change_manual.pdf,"Manual completo para desarrollar ToC. Cubre suposiciones, pre-condiciones, indicadores y evaluación.","theory of change, logic model, program design, evaluation",pendiente
6,Theory of Change: The Beginning of Making a Difference,NPC (New Philanthropy Capital),Think tank,Metodologia,Filantropía,UK,2012,EN,Guía,Marco general,https://www.thinknpc.org/wp-content/uploads/2018/07/Theory-of-change2.pdf,https://www.thinknpc.org/wp-content/uploads/2018/07/Theory-of-change2.pdf,Introducción a ToC para organizaciones de caridad y financiadores. Explica por qué y cómo usarla para diseño y evaluación.,"theory of change, charity, nonprofit, NPC, UK",pendiente
7,Creating Your Theory of Change,NPC (New Philanthropy Capital),Think tank,Metodologia,Filantropía,UK,2014,EN,Guía práctica,Marco general,https://www.thinknpc.org/wp-content/uploads/2018/07/Creating-your-theory-of-change1.pdf,https://www.thinknpc.org/wp-content/uploads/2018/07/Creating-your-theory-of-change1.pdf,Guía práctica paso a paso para crear una ToC. Incluye plantillas y ejemplos de organizaciones del sector social en UK.,"theory of change, nonprofit, template, UK, NPC",pendiente
8,How to Develop Your Intended Impact and Theory of Change,Bridgespan Group,Consultoría,Metodologia,Organizaciones sin fines de lucro,USA,2017,EN,Plantillas y guía,Marco general,https://www.bridgespan.org/getmedia/3e68b560-09d3-4540-a07a-b5a3fba0088f/intended-impact-theory-of-change-templates_1.pdf,https://www.bridgespan.org/getmedia/3e68b560-09d3-4540-a07a-b5a3fba0088f/intended-impact-theory-of-change-templates_1.pdf,Plantillas y guía de Bridgespan para desarrollar impacto intencional y ToC. Muy usado por organizaciones sin fines de lucro en USA.,"theory of change, intended impact, nonprofit strategy, Bridgespan",pendiente
9,The Theory of Change: How Non-profits Can Scale Up,BCG (Boston Consulting Group),Consultoría,Metodologia,Sector social,Global,2017,EN,Reporte corporativo,Marco general,https://web-assets.bcg.com/ab/64/7094dc3847498c3a07d069cd310c/the-theory-of-change-how-non-profits-can-scale-up.pdf,https://web-assets.bcg.com/ab/64/7094dc3847498c3a07d069cd310c/the-theory-of-change-how-non-profits-can-scale-up.pdf,BCG aplica ToC para escalar organizaciones sin fines de lucro. Presenta ejemplos de organizaciones que han escalado su impacto.,"theory of change, scale, nonprofit, BCG, strategy",pendiente
10,"Theory of Change, Monitoring, and Evaluation",Stanford PACS / NCFP,Universidad,Metodologia,Filantropía y evaluación,USA,2020,EN,Módulo formativo,Marco general,https://www.ncfp.org/wp-content/uploads/2020/10/06-Theory-of-Change-Stanford-PACS-2020.pdf,https://www.ncfp.org/wp-content/uploads/2020/10/06-Theory-of-Change-Stanford-PACS-2020.pdf,"Módulo de formación de Stanford sobre ToC, M&E y su integración. Incluye ejemplos de fundaciones y programas educativos.","theory of change, monitoring, evaluation, Stanford, PACS, philanthropy",pendiente
