Schema updated: 48 columns ready
Reportes a procesar: 376
Modelo: gpt-4o-mini
Costo estimado: ~$0.38 USD

[1/376] whizz-kids-sroi-march-2011 → ratio=10 | sector=discapacidad | país=UK | conf=media
[2/376] social-return-on-investment-analysis-clyde-muirshiel-pa → ratio=9.0 | sector=medio_ambiente | país=UK | conf=alta
[3/376] substance-abuse-dollars-and-cents-a-social-cost-benefit → ratio=None | sector=salud | país=USA | conf=baja
[4/376] the-yss-pathways-accommodation-mentoring-pam-service → ratio=16.87 | sector=vivienda | país=UK | conf=alta
[5/376] food-connect-brisbane-forecast-sroi-report → ratio=16.83 | sector=agricultura | país=Australia | conf=alta
[6/376] veterans-contact-point-sroi-report → ratio=None | sector=inclusion_social | país=UK | conf=alta
[7/376] hitting-the-target-missing-the-point-how-government-reg → ratio=None | sector=inclusion_social | país=UK | conf=media
[8/376] nsw-employment-program-evaluation-and-social-return-on- → ratio=1.97 | sector=empleo | país=Australia | conf=alta
[9/376] through-a-glass-darkly-measuring-the-social-value-of-un → ratio=None | sector=educacion | país=UK | conf=media
[10/376] public-social-partnerships-employability-pilot-sroi → ratio=9.93 | sector=discapacidad | país=UK | conf=alta
[11/376] vienna-university-of-economics-and-business-casa-abraha → ratio=3.47 | sector=infancia_juventud | país=Austria | conf=alta
[12/376] evaluation-of-four-recovery-communities-across-england- → ratio=None | sector=inclusion_social | país=UK | conf=media
[13/376] social-return-on-investment-report-the-yss-worcestershi → ratio=8.69 | sector=infancia_juventud | país=UK | conf=alta
[14/376] north-ayrshire-fab-pad-project → ratio=8.38 | sector=inclusion_social | país=Scotland | conf=alta
[15/376] subliminal-directions-social-return-on-investment-repor → ratio=8.27 | sector=educacion | país=UK | conf=alta
[16/376] craft-cafe-sroi-evaluation → ratio=None | sector=personas_mayores | país=Escocia | conf=alta
[17/376] integrating-adaptation-into-redd-potential-impacts-and- → ratio=None | sector=medio_ambiente | país=Indonesia | conf=media
[18/376] food-connect-sydney-forecast-sroi-report → ratio=7.96 | sector=agricultura | país=Australia | conf=alta
[19/376] the-social-value-of-carmichael-centre-2 → ratio=None | sector=inclusion_social | país=Ireland | conf=alta
[20/376] sunderland-xl-youth-villages-sroi-evaluation → ratio=3.5 | sector=infancia_juventud | país=UK | conf=alta
[21/376] cufa-sroi-report → ratio=5.13 | sector=microfinanzas | país=Cambodia | conf=alta
[22/376] community-first-moray-sroi-analysis → ratio=None | sector=personas_mayores | país=UK | conf=alta
[23/376] a-balanced-family → ratio=None | sector=inclusion_social | país=Países Bajos | conf=alta
[24/376] measuring-the-sroi-of-stage-3-adaptations-and-very-shel → ratio=None | sector=vivienda | país=Scotland | conf=None
[25/376] traveller-womens-community-development-programme-a-soci → ratio=6.59 | sector=inclusion_social | país=UK | conf=alta
[26/376] choices-plus-an-sroi-study → ratio=None | sector=empleo | país=UK | conf=alta
[27/376] ashram-employment-and-skills-service → ratio=None | sector=empleo | país=UK | conf=alta
[28/376] cambridgeshires-funded-two-year-old-childcare-social-re → ratio=None | sector=infancia_juventud | país=UK | conf=alta
[29/376] the-social-return-on-investment-of-drug-and-alcohol-fam → ratio=None | sector=salud | país=UK | conf=alta
[30/376] the-wise-group-cadder-environmental-improvement-project → ratio=None | sector=medio_ambiente | país=UK | conf=media
[31/376] an-evaluation-of-social-added-value-for-horizon-care-an → ratio=4.53 | sector=vivienda | país=UK | conf=alta
[32/376] care-repair-west-lothian-sroi-analysis-summary → ratio=4.53 | sector=personas_mayores | país=UK | conf=alta
[33/376] perth-ymca-get-ready-for-work-programme-social-retun-on → ratio=4.35 | sector=empleo | país=UK | conf=alta
[34/376] sroi-evaluation-analysis-conversations-project → ratio=None | sector=arte_cultura | país=Emiratos Árabes Unidos | conf=media
[35/376] national-specialist-family-service-phoenix-futures-sroi → ratio=None | sector=inclusion_social | país=UK | conf=media
[36/376] social-return-on-investment-of-tasmanian-youth-justice- → ratio=None | sector=justicia | país=Australia | conf=media
[37/376] an-sroi-analysis-of-anchor-house → ratio=3.98 | sector=inclusion_social | país=UK | conf=alta
[38/376] be-by-gentoo → ratio=None | sector=bienestar | país=UK | conf=alta
[39/376] rnib-and-action-for-blind-people-social-firms-a-social- → ratio=4.8 | sector=discapacidad | país=UK | conf=alta
[40/376] trident-reach-homeless-link-transition-fund-project → ratio=None | sector=justicia | país=UK | conf=alta
[41/376] an-evaluation-of-the-social-value-of-the-get-into-readi → ratio=None | sector=inclusion_social | país=UK | conf=alta
[42/376] the-benefits-on-investing-in-early-child-development-an → ratio=None | sector=infancia_juventud | país=Ecuador | conf=None
[43/376] a-social-return-on-investment-analysis-on-emfils-microf → ratio=None | sector=microfinanzas | país=India | conf=alta
[44/376] victorian-womens-housing-association-research-report → ratio=3.14 | sector=vivienda | país=Australia | conf=alta
[45/376] octavia-view-sroi-forecast → ratio=3.13 | sector=vivienda | país=UK | conf=alta
[46/376] country-education-foundation-of-australia-sroi-forecast → ratio=None | sector=educacion | país=Australia | conf=alta
[47/376] fair-gains-sroi-case-study → ratio=3.08 | sector=inclusion_social | país=Canada | conf=alta
[48/376] future-jobs-fund-programme-sroi-evaluation → ratio=2.9 | sector=empleo | país=UK | conf=media
[49/376] secondbite-food-distribution-activities-social-return-o → ratio=2.75 | sector=inclusion_social | país=Australia | conf=alta
[50/376] furnish-sroi-report → ratio=None | sector=inclusion_social | país=UK | conf=alta
[51/376] social-impact-analysis-for-sewa-day-on-7-october-2012 → ratio=None | sector=inclusion_social | país=UK | conf=baja
[52/376] hidden-value-demonstrating-the-extraordinary-impact-of- → ratio=None | sector=None | país=UK | conf=media
[53/376] befriending-at-the-quays-a-social-return-on-investment- → ratio=None | sector=salud | país=UK | conf=alta
[54/376] the-social-return-on-investment-for-cleanstart → ratio=2.03 | sector=justicia | país=UK | conf=alta
[55/376] partnership-brokers-program-baseline-social-return-on-i → ratio=None | sector=educacion | país=Australia | conf=alta
[56/376] striking-the-right-balance-a-social-return-on-investmen → ratio=1.5 | sector=vivienda | país=Scotland | conf=alta
[57/376] the-economic-and-social-impact-of-british-gas-energy-tr → ratio=None | sector=vivienda | país=UK | conf=media
